dataset,include_max,d_shp,d_gen,k_per_var,final_test_acc
ArticularyWordRecognition,0,128,32,100,0.993333333
AtrialFibrillation,1,128,32,100,0.533333333
BasicMotions,0,128,32,30,1
CharacterTrajectories,0,128,32,100,0.985376045
Cricket,0,256,32,300,1
DuckDuckGeese,0,256,128,30,0.7
ERing,0,128,64,100,0.985185185
EigenWorms,0,256,32,30,0.954198473
Epilepsy,1,64,32,300,0.992753623
EthanolConcentration,0,64,32,100,0.36121673
FaceDetection,0,256,32,100,0.658059024
FingerMovements,1,256,128,100,0.65
HandMovementDirection,1,128,32,100,0.5
Handwriting,0,128,32,300,0.524705882
Heartbeat,0,256,32,100,0.795121951
InsectWingbeat,0,256,128,30,0.378
JapaneseVowels,0,128,64,100,0.989189189
LSST,1,64,32,300,0.45620438
Libras,0,64,32,30,0.955555556
MotorImagery,0,256,128,100,0.61
NATOPS,0,128,32,100,0.933333333
PEMS-SF,1,256,64,100,0.826589595
PenDigits,0,128,32,300,0.987135506
PhonemeSpectra,0,128,32,100,0.297942141
RacketSports,0,64,32,30,0.921052632
SelfRegulationSCP1,0,128,32,100,0.911262799
SelfRegulationSCP2,1,128,64,100,0.55
SpokenArabicDigits,0,128,32,30,0.974988631
StandWalkJump,0,128,32,100,0.533333333
UWaveGestureLibrary,0,128,64,300,0.9375
